rating_count,rating,review_time_since_days,rating_label,review_length,location_cluster,street,city,postal_code,sentiment_compound,sentiment_label_vader,sentiment_polarity,sentiment_subjectivity,rating_normalized,review_word_count,rating_vs_sentiment_gap
1240,1,1825,bad,1459,8,13749 US-183 Hwy,Austin,78750,-0.9818,negative,-0.15752368151561696,0.47160778289810545,0.0,271,0.9818
1240,2,730,bad,74,8,13749 US-183 Hwy,Austin,78750,0.0,neutral,0.06666666666666667,0.45555555555555555,0.25,13,0.25
1240,1,1095,bad,299,8,13749 US-183 Hwy,Austin,78750,0.0,neutral,-0.2,1.0,0.0,60,0.0
1240,5,60,good,28,8,13749 US-183 Hwy,Austin,78750,0.6369,positive,0.25,0.3,1.0,5,0.3631
1240,2,1460,bad,531,8,13749 US-183 Hwy,Austin,78750,-0.0941,negative,0.03095238095238095,0.2714285714285714,0.25,107,0.3441
1240,1,365,bad,213,8,13749 US-183 Hwy,Austin,78750,0.8173,positive,0.16,0.9500000000000001,0.0,41,-0.8173
1240,1,365,bad,58,8,13749 US-183 Hwy,Austin,78750,-0.6935,negative,-1.0,1.0,0.0,10,0.6935
1240,2,1825,bad,198,8,13749 US-183 Hwy,Austin,78750,0.4178,positive,-0.25448717948717947,0.49102564102564106,0.25,37,-0.1678
1240,1,1095,bad,176,8,13749 US-183 Hwy,Austin,78750,0.0,neutral,0.03571428571428571,0.2492063492063492,0.0,34,0.0
1240,4,1095,neutral,202,8,13749 US-183 Hwy,Austin,78750,0.8047,positive,0.25,0.5194444444444445,0.75,40,-0.0547
1240,1,1460,bad,531,8,13749 US-183 Hwy,Austin,78750,-0.9674,negative,-0.06208333333333331,0.5333333333333334,0.0,110,0.9674
1240,2,1460,bad,350,8,13749 US-183 Hwy,Austin,78750,-0.17,negative,0.012121212121212114,0.49090909090909085,0.25,71,0.42
1240,2,1460,bad,337,8,13749 US-183 Hwy,Austin,78750,0.5487,positive,0.04166666666666666,0.5222222222222223,0.25,65,-0.2987
1240,1,1825,bad,608,8,13749 US-183 Hwy,Austin,78750,-0.9669,negative,-0.496875,0.625,0.0,115,0.9669
1240,5,1460,good,230,8,13749 US-183 Hwy,Austin,78750,0.9089,positive,0.31562500000000004,0.5718749999999999,1.0,38,0.0911
1240,1,1095,bad,230,8,13749 US-183 Hwy,Austin,78750,-0.8439,negative,-0.07857142857142856,0.4571428571428572,0.0,45,0.8439
1240,1,365,bad,187,8,13749 US-183 Hwy,Austin,78750,-0.6115,negative,0.1,0.4,0.0,33,0.6115
1240,1,2920,bad,278,8,13749 US-183 Hwy,Austin,78750,-0.6597,negative,-0.05833333333333333,0.4979166666666667,0.0,55,0.6597
1240,1,2555,bad,382,8,13749 US-183 Hwy,Austin,78750,-0.5739,negative,0.0011904761904761893,0.34246031746031746,0.0,74,0.5739
1240,1,2555,bad,294,8,13749 US-183 Hwy,Austin,78750,0.2225,positive,-0.1375,0.45625,0.0,55,-0.2225
1240,5,1460,good,142,8,13749 US-183 Hwy,Austin,78750,0.8979,positive,0.44375000000000003,0.7125,1.0,26,0.1021
1240,1,365,bad,105,8,13749 US-183 Hwy,Austin,78750,-0.9042,negative,-0.36,0.5883333333333334,0.0,22,0.9042
1240,1,730,bad,104,8,13749 US-183 Hwy,Austin,78750,-0.7579,negative,-0.5357142857142857,0.6071428571428571,0.0,20,0.7579
1240,1,2920,bad,421,8,13749 US-183 Hwy,Austin,78750,-0.4673,negative,-0.030871212121212105,0.6120265151515151,0.0,88,0.4673
1240,3,730,neutral,170,8,13749 US-183 Hwy,Austin,78750,0.68,positive,0.11500000000000002,0.6116666666666667,0.5,36,-0.18
1240,1,1095,bad,181,8,13749 US-183 Hwy,Austin,78750,0.2755,positive,0.13363095238095238,0.6172619047619047,0.0,33,-0.2755
1240,1,1095,bad,925,8,13749 US-183 Hwy,Austin,78750,0.8303,positive,0.16611781076066795,0.4700525664811379,0.0,201,-0.8303
1240,5,1460,good,217,8,13749 US-183 Hwy,Austin,78750,0.836,positive,0.2852272727272727,0.5257575757575758,1.0,39,0.164
1240,3,730,neutral,139,8,13749 US-183 Hwy,Austin,78750,-0.6124,negative,-0.2,0.9,0.5,28,1.1124
1240,1,1460,bad,299,8,13749 US-183 Hwy,Austin,78750,0.2678,positive,0.08500000000000005,0.6533333333333333,0.0,55,-0.2678
1240,1,365,bad,110,8,13749 US-183 Hwy,Austin,78750,-0.1027,negative,-0.10714285714285715,0.7178571428571429,0.0,22,0.1027
1240,4,1825,neutral,529,8,13749 US-183 Hwy,Austin,78750,-0.8026,negative,-0.09124999999999998,0.40791666666666665,0.75,93,1.5526
1240,5,120,good,10,8,13749 US-183 Hwy,Austin,78750,0.4404,positive,0.7,0.6000000000000001,1.0,2,0.5596
1240,4,1095,neutral,209,8,13749 US-183 Hwy,Austin,78750,0.7385,positive,0.345,0.615,0.75,40,0.0115
1240,1,1095,bad,196,8,13749 US-183 Hwy,Austin,78750,-0.6124,negative,-0.09999999999999999,0.6333333333333333,0.0,41,0.6124
1240,3,1460,neutral,601,8,13749 US-183 Hwy,Austin,78750,0.7637,positive,0.2666666666666666,0.7583333333333333,0.5,116,-0.2637
1240,1,240,bad,79,8,13749 US-183 Hwy,Austin,78750,-0.296,negative,0.0,0.5,0.0,15,0.296
1240,5,1825,good,437,8,13749 US-183 Hwy,Austin,78750,0.9913,positive,0.42714285714285716,0.6010317460317459,1.0,82,0.0087
1240,4,1460,neutral,286,8,13749 US-183 Hwy,Austin,78750,-0.6054,negative,0.08409090909090909,0.19166666666666665,0.75,54,1.3554
1240,1,365,bad,155,8,13749 US-183 Hwy,Austin,78750,-0.8377,negative,-0.4285714285714286,0.7761904761904761,0.0,30,0.8377
1240,1,365,bad,304,8,13749 US-183 Hwy,Austin,78750,-0.6542,negative,-0.25,0.7625,0.0,60,0.6542
1240,5,1460,good,154,8,13749 US-183 Hwy,Austin,78750,0.8118,positive,0.25593434343434346,0.3686868686868687,1.0,26,0.1882
1240,1,2555,bad,358,8,13749 US-183 Hwy,Austin,78750,-0.8462,negative,-0.31,0.6599999999999999,0.0,74,0.8462
1240,5,365,good,73,8,13749 US-183 Hwy,Austin,78750,0.9323,positive,0.6,0.75,1.0,13,0.0677
